"Date","Price","Open","High","Low","Vol.","Change %"
"08/20/2026","69,581.6","69,325.0","69,952.5","68,898.5","113.97K","0.37%"
"08/19/2026","69,325.7","64,718.0","69,979.5","64,157.3","99.69K","7.12%"
"08/18/2026","64,718.3","64,523.9","65,024.6","64,036.9","42.95K","0.30%"
"08/17/2026","64,524.8","62,883.8","64,578.0","62,745.5","51.96K","2.61%"
"08/16/2026","62,883.8","63,080.0","63,369.3","62,707.2","18.93K","-0.31%"
"08/15/2026","63,080.0","63,033.0","63,176.9","62,910.6","20.32K","0.07%"
"08/14/2026","63,032.9","63,477.8","63,602.9","62,553.7","49.23K","-0.70%"
"08/13/2026","63,476.9","63,462.4","63,980.3","62,849.0","42.40K","0.02%"
"08/12/2026","63,461.9","63,589.5","64,411.6","63,305.9","50.72K","-0.20%"
"08/11/2026","63,589.8","63,960.1","64,482.7","63,231.6","47.58K","-0.58%"
"08/10/2026","63,960.1","64,896.2","65,362.4","63,802.6","48.44K","-1.44%"
"08/09/2026","64,897.6","64,953.6","65,402.4","64,723.1","27.28K","-0.09%"
"08/08/2026","64,953.6","64,914.7","65,177.9","64,824.5","22.62K","0.06%"
"08/07/2026","64,914.7","64,303.7","65,373.2","64,167.7","43.96K","0.95%"
"08/06/2026","64,303.6","64,651.2","64,981.5","64,165.0","35.52K","-0.54%"
"08/05/2026","64,651.2","64,096.2","64,980.9","63,901.1","48.67K","0.87%"
"08/04/2026","64,096.2","63,510.2","64,516.0","63,333.6","47.61K","0.92%"
"08/03/2026","63,510.2","63,560.6","64,060.8","62,290.2","52.93K","-0.08%"
"08/02/2026","63,560.6","62,814.7","63,767.3","62,799.2","31.91K","1.19%"
"08/01/2026","62,814.7","62,875.6","63,140.8","62,280.6","28.05K","-0.10%"
"07/31/2026","62,875.5","64,770.0","65,364.3","62,478.2","69.66K","-2.92%"
"07/30/2026","64,770.0","63,967.8","65,121.7","63,592.2","57.32K","1.25%"
"07/29/2026","63,967.8","63,915.5","64,705.3","63,282.2","56.94K","0.08%"
"07/28/2026","63,916.0","63,748.7","64,079.1","62,785.5","47.87K","0.26%"
"07/27/2026","63,748.9","65,389.2","65,693.2","63,620.4","52.65K","-2.51%"
"07/26/2026","65,389.2","64,367.5","65,553.8","64,288.6","28.85K","1.59%"
"07/25/2026","64,367.5","64,129.4","64,441.5","63,800.5","30.02K","0.35%"
"07/24/2026","64,143.8","65,073.7","65,794.5","63,734.5","59.38K","-1.45%"
"07/23/2026","65,090.4","66,089.6","66,303.3","64,665.7","52.51K","-1.53%"
"07/22/2026","66,101.5","66,544.1","66,727.9","65,562.4","61.34K","-0.66%"
"07/21/2026","66,542.8","65,186.3","66,933.8","65,150.9","65.72K","2.00%"
"07/20/2026","65,238.3","64,593.0","65,784.7","63,760.0","65.81K","0.80%"
"07/19/2026","64,720.9","64,849.0","64,936.7","64,282.1","32.24K","-0.16%"
"07/18/2026","64,823.6","63,925.5","64,850.8","63,881.0","27.90K","1.41%"
"07/17/2026","63,925.1","63,829.2","64,364.8","62,537.9","61.14K","0.14%"
"07/16/2026","63,834.6","64,747.8","64,983.3","63,742.7","61.96K","-1.41%"
"07/15/2026","64,749.8","65,029.3","65,556.5","64,482.9","58.82K","-0.41%"
"07/14/2026","65,015.5","62,319.8","65,056.6","62,271.9","65.96K","4.33%"
"07/13/2026","62,319.8","63,776.4","64,392.1","61,815.7","71.75K","-2.28%"
"07/12/2026","63,776.0","63,815.4","64,251.1","63,642.7","44.96K","-0.07%"
"07/11/2026","63,818.6","64,122.2","64,489.8","63,815.7","29.67K","-0.52%"
"07/10/2026","64,154.1","63,206.5","64,673.1","62,955.5","59.08K","1.47%"
"07/09/2026","63,226.7","62,264.6","63,451.2","61,696.6","61.49K","1.52%"
"07/08/2026","62,282.8","63,324.7","63,726.3","61,546.6","61.66K","-1.65%"
"07/07/2026","63,325.1","64,054.8","64,287.9","62,682.8","56.48K","-1.10%"
"07/06/2026","64,028.0","63,635.7","64,600.6","61,332.2","67.51K","0.62%"
"07/05/2026","63,635.1","63,135.3","63,972.2","62,477.1","31.93K","0.79%"
"07/04/2026","63,135.3","62,589.6","63,441.5","62,328.6","33.41K","0.85%"
"07/03/2026","62,602.6","61,546.0","62,894.4","61,239.3","47.53K","1.72%"
"07/02/2026","61,546.2","60,012.1","62,169.3","59,577.5","79.87K","2.55%"
"07/01/2026","60,014.2","58,619.6","61,226.6","57,832.5","76.79K","2.36%"
"06/30/2026","58,630.8","60,218.0","60,231.3","58,189.4","81.12K","-2.61%"
"06/29/2026","60,205.0","59,555.7","60,753.8","58,956.8","63.36K","1.09%"
"06/28/2026","59,557.2","60,011.9","60,489.1","58,941.4","29.75K","-0.76%"
"06/27/2026","60,011.2","60,104.5","60,902.0","59,871.0","32.47K","-0.13%"
"06/26/2026","60,086.4","59,790.1","60,720.1","58,345.0","83.66K","0.52%"
"06/25/2026","59,776.7","61,046.8","61,938.3","58,131.4","87.23K","-2.09%"
"06/24/2026","61,052.5","62,721.3","63,106.2","59,115.8","94.92K","-2.66%"
"06/23/2026","62,721.3","63,990.3","64,258.8","61,969.3","61.89K","-2.01%"
"06/22/2026","64,005.0","63,365.9","65,555.3","63,365.9","51.09K","1.13%"
"06/21/2026","63,291.4","64,263.2","64,560.2","63,276.8","33.17K","-1.58%"
"06/20/2026","64,306.4","63,557.3","64,348.0","63,197.7","36.30K","1.21%"
"06/19/2026","63,539.8","62,914.7","63,625.0","62,314.1","45.60K","0.95%"
"06/18/2026","62,942.7","64,525.2","64,777.8","62,269.7","63.08K","-2.39%"
"06/17/2026","64,483.9","65,710.8","66,395.0","63,932.6","58.68K","-1.79%"
"06/16/2026","65,659.1","66,318.4","66,968.7","65,360.1","47.76K","-1.00%"
"06/15/2026","66,319.9","65,743.2","67,276.4","65,359.7","67.57K","0.87%"
"06/14/2026","65,744.9","64,432.0","65,787.3","63,679.0","46.55K","2.04%"
"06/13/2026","64,432.0","63,561.0","64,691.4","63,461.7","35.71K","1.38%"
"06/12/2026","63,555.6","63,604.7","64,371.5","62,836.2","53.76K","-0.08%"
"06/11/2026","63,606.1","61,498.5","63,864.4","61,498.5","58.15K","3.42%"
"06/10/2026","61,501.9","61,722.9","62,833.5","60,800.0","54.67K","-0.34%"
"06/09/2026","61,713.5","63,082.4","63,508.6","60,801.4","102.27K","-2.17%"
"06/08/2026","63,082.8","63,320.2","64,191.9","62,419.0","72.14K","-0.39%"
